tieng_viet,tieng_tay
màu sắc,slắc
nước da,slắc
nước da màu,slắc
màu,slắc
đỏ,đeng
đen,đăm
trắng,khao
màu vàng,lương
xanh,kheo
xanh lá,xì kheo
xanh lục,xì kheo
xanh dương,xì phạ
xanh lam,xì phạ
hồng,đáo
tím,cắm
nâu,moóc
đỏ thắm,đeng nhàn
đen xì,đăm nhám
xám,quầy

